,deposit_id,deposit_name,latitude,longitude,deposit_model,url
245,219,Eugene,47.8246,7.327,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=219
246,849,Ewing Bank,28.5,-91.0,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=849
247,73,Eyehill Creek,52.256,-110.3519,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=73
248,757,Farab,39.1737,63.6076,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=757
249,64,Faro,-2.1575,-56.7365,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=64
250,65,Fazendinha,-3.7539,-58.8356,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=65
251,220,Fernand,47.8014,7.3239,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=220
252,792,Girne,49.1989,23.7269,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=792
253,190,FF83-2,28.8222,32.9159,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=190
254,191,FF83-3,28.8232,32.9071,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=191
255,989,Fioristella,37.4833,14.3667,not determined,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=989
256,83,Fischells Brook,48.3016,-58.564,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=83
257,74,Fort Ellice 2-14-16-28W,50.36,-101.2301,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=74
258,640,Morozov,49.05,45.5,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=640
259,257,Friedenshall,51.771,11.7705,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=257
260,256,Friedenshall-Bernburg,51.773,11.74,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=256
261,260,Friedrichshall,52.3114,9.9591,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=260
262,569,Frumoasa,47.59,25.92,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=569
263,436,Furmanova III,49.66,49.347,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=436
264,570,Galeanu,46.2839,26.6053,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=570
265,75,Gambler 2-14-18-29W,50.5368,-101.3701,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=75
266,927,Girsan,38.6167,65.1667,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=927
267,758,Gaurdak,37.8847,66.0408,mixed stratabound potash-bearing salt and halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=758
268,192,Gebel El Zeit 2,27.9713,33.3821,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=192
